row_id,fac,direction_number,direction_name,primary_theme,secondary_theme,classification_confidence,classified_on,classification_notes,classification_status
592_1,592,1,Exceptional Care,PAT,NA,high,name_description,Clear focus on quality improvement transformation. 'Exceptional Care' combined with QI investment directly aligns with patient experience and quality theme. No secondary theme warranted as description is focused solely on quality improvement methodology.,ok
592_2,592,2,Trusted Relationships,EDI,NA,high,name_description,"Clear EDI focus: anti-racism framework and Indigenous inclusion are core EDI concepts. 'Trusted Relationships' label is vague, but description unambiguously points to equity, diversity, and inclusion work.",ok
592_3,592,3,Relentless Communications,PAT,WRK,high,name_description,Multi-purpose communication strategy with dual focus: patient experience/care (primary) and staff attraction/teamwork (secondary). Community reputation supports both themes but is secondary to the operational goals stated.,ok
593_1,593,1,Collaborate for Exceptional Care and Experiences,PAT,INN,high,name_description,"Primary theme is clearly patient experience and quality (compassionate care, patient-centered experiences, quality and safety priorities). Secondary theme INN assigned due to substantial focus on leveraging technology for digital care delivery. Indigenous engagement supports patient-centered care rather than warranting EDI as secondary.",ok
593_2,593,2,"Engage, Support and Inspire Our People",WRK,EDI,high,name_description,"Primary WRK: Core focus on employee engagement, wellness, recognition, and being employer of choice. Secondary EDI: First action explicitly addresses diversity, equity, inclusion and anti-racism as foundational to the work environment.",ok
593_3,593,3,Advance How We Deliver Care,ACC,PAR,high,full,Primary theme is ACC based on 'expanding access to high quality care' and 'evolving needs of communities'. Secondary theme is PAR due to substantial emphasis on 'invest in relationships and collaborate with partners' and 'making the healthcare system more integrated'. Infrastructure and IT mentioned are enablers supporting the access and integration goals.,ok
596_1,596,1,PEOPLE,WRK,PAT,high,name_description,"Primary focus on workforce culture (recognition, learning culture, collaboration, teamwork). Secondary theme PAT justified by explicit connection to patient care experience as the purpose of staff engagement.",ok
596_2,596,2,CARE,PAT,NA,high,name_description,NA,ok
596_3,596,3,PARTNERSHIPS,PAR,ACC,high,name_description,"Primary focus on collaborative partnerships with external providers to build care networks. Secondary theme ACC reflects the goal of seamless care experience and service availability, which are access/delivery outcomes of the partnership strategy.",ok
596_4,596,4,INVESTMENTS,FIN,INF,high,name_description,Primary FIN: core focus on fiscal constraints and resource allocation. Secondary INF: substantial emphasis on infrastructure and equipment investments as strategic outputs of financial stewardship.,ok
597_1,597,1,PROVIDE OUR COMMUNITIES ACCESS TO QUALITY HEALTHCARE,ACC,PAR,high,name_description,Primary focus on access to services and integrated care delivery (ACC). Secondary theme reflects substantial emphasis on collaboration with partners and system integration (PAR). Clinical Services Plan implementation and primary care reform both support access goals.,ok
597_2,597,2,"FOSTER A COLLABORATIVE WORKING ENVIRONMENT WHERE PEOPLE FEEL SUPPORTED, VALUED, AND APPRECIATED",WRK,NA,high,full,NA,ok
597_3,597,3,"ENABLE OUR TEAM THROUGH IMPROVED PROCESSES, TECHNOLOGY, AND INFRASTRUCTURE",INF,INN,high,name_description,"Primary INF: Core focus on infrastructure (IT systems, redevelopment, space optimization, operational processes). Secondary INN: EHR advancement and process innovation represent meaningful digital/innovation component beyond basic infrastructure maintenance.",ok
597_4,597,4,SECURE OUR FISCAL AND OPERATIONAL SUSTAINABILITY,FIN,WRK,high,full,"Primary FIN: direction name explicitly states fiscal sustainability, with actions focused on revenue diversification and integration for financial viability. Secondary WRK: recruitment strategy for attracting talent is a substantial workforce action. Regional collaboration could suggest PAR, but in context it appears to support sustainability goals rather than being a partnership end in itself.",ok
599_1,599,1,PERSON CENTRED CARE,PAT,ACC,high,full,"Primary PAT: Core focus on patient-centred care, partnerships with patients/families, quality of care, and service excellence. Secondary ACC: Substantial emphasis on care delivery models, accessibility, care pathways, and service integration through OHT partnerships.",ok
599_2,599,2,OUR PEOPLE,WRK,EDI,high,full,"Primary WRK: Core focus on recruitment, retention, professional development, staff wellness, and workplace culture. Secondary EDI: Explicit commitment to building a culture founded in diversity, equity and inclusion that drives organizational decisions.",ok
