fac,hospital_name,hospital_type,hospital_type_group,direction_number,direction_name,direction_description,key_actions,plan_period_start,plan_period_end,plan_period_start_raw,plan_period_end_raw,primary_theme,secondary_theme,classification_confidence,classified_on,classification_notes,classification_status,robots_allowed,cihi_peer_group,licensed_beds,hospital_name_self_reported,plan_start_year,plan_period_parse_ok,vision,mission,values,purpose,extraction_quality,extraction_notes,source_type,extraction_date,direction_type
592,NAPANEE LENNOX & ADDINGTON,Small Hospital,Community — Small,1,Exceptional Care,"LACGH will invest in a Quality Improvement transformation, annually identifying 1-2 areas or units that require special focus.",NA,2025-01-01,2028-01-01,2025,2028,PAT,NA,high,name_description,Clear focus on quality improvement transformation. 'Exceptional Care' combined with QI investment directly aligns with patient experience and quality theme. No secondary theme warranted as description is focused solely on quality improvement methodology.,ok,TRUE,NA,NA,Lennox and Addington County General Hospital,2025,TRUE,"To be a leading rural health hub where hospital and community services work together to provide exceptional care, close to home.","We are a forward-looking community hospital and health hub, serving people and communities in partnership.",Togetherness | Empowerment | Adaptability,NA,full,NA,pdf,2026-03-27,direction
592,NAPANEE LENNOX & ADDINGTON,Small Hospital,Community — Small,2,Trusted Relationships,"LACGH actively fosters inclusion and respect through a systemic anti-racism framework, including Indigenous People.",NA,2025-01-01,2028-01-01,2025,2028,EDI,NA,high,name_description,"Clear EDI focus: anti-racism framework and Indigenous inclusion are core EDI concepts. 'Trusted Relationships' label is vague, but description unambiguously points to equity, diversity, and inclusion work.",ok,TRUE,NA,NA,Lennox and Addington County General Hospital,2025,TRUE,"To be a leading rural health hub where hospital and community services work together to provide exceptional care, close to home.","We are a forward-looking community hospital and health hub, serving people and communities in partnership.",Togetherness | Empowerment | Adaptability,NA,full,NA,pdf,2026-03-27,direction
592,NAPANEE LENNOX & ADDINGTON,Small Hospital,Community — Small,3,Relentless Communications,"LACGH will pursue a robust multi-channel communications/engagement strategy to enhance patient experiences, improve patient care, enhance teamwork, help attract staff, and maintain our strong reputation in the community.",NA,2025-01-01,2028-01-01,2025,2028,PAT,WRK,high,name_description,Multi-purpose communication strategy with dual focus: patient experience/care (primary) and staff attraction/teamwork (secondary). Community reputation supports both themes but is secondary to the operational goals stated.,ok,TRUE,NA,NA,Lennox and Addington County General Hospital,2025,TRUE,"To be a leading rural health hub where hospital and community services work together to provide exceptional care, close to home.","We are a forward-looking community hospital and health hub, serving people and communities in partnership.",Togetherness | Empowerment | Adaptability,NA,full,NA,pdf,2026-03-27,direction
593,Middlesex Hospital Alliance NEWBURY FOUR COUNTIES HEALTH SERV.,Small Hospital,Community — Small,1,Collaborate for Exceptional Care and Experiences,NA,"Provide compassionate care and patient-centered experiences through communication and engagement with our patients, families and care providers with a specific focus on local Indigenous communities. | Continue to enhance quality and safety in alignment with our quality priorities. | Leverage technology to advance the next phase of digital care delivery.",2024-01-01,NA,2024,NA,PAT,INN,high,name_description,"Primary theme is clearly patient experience and quality (compassionate care, patient-centered experiences, quality and safety priorities). Secondary theme INN assigned due to substantial focus on leveraging technology for digital care delivery. Indigenous engagement supports patient-centered care rather than warranting EDI as secondary.",ok,TRUE,NA,NA,Middlesex Hospital Alliance,2024,TRUE,Exceptional People providing Exceptional Care.,To provide the health care we would expect for our own families.,Compassion | Accountability | Respect | Excellence,NA,full,Plan period indicates '2024 — FORWARD' suggesting ongoing implementation from 2024 with no specified end date.,pdf,2026-03-27,direction
593,Middlesex Hospital Alliance NEWBURY FOUR COUNTIES HEALTH SERV.,Small Hospital,Community — Small,2,"Engage, Support and Inspire Our People",NA,"Acknowledge, respect and embrace diversity, equity, inclusion and antiracism in our environments. | Build on a culture of empowering engagement, safety, trust, belonging and purpose. | Enhance our focus on wellness and recognition, aiming to be an organization of choice for employees, physicians and volunteers.",2024-01-01,NA,2024,NA,WRK,EDI,high,name_description,"Primary WRK: Core focus on employee engagement, wellness, recognition, and being employer of choice. Secondary EDI: First action explicitly addresses diversity, equity, inclusion and anti-racism as foundational to the work environment.",ok,TRUE,NA,NA,Middlesex Hospital Alliance,2024,TRUE,Exceptional People providing Exceptional Care.,To provide the health care we would expect for our own families.,Compassion | Accountability | Respect | Excellence,NA,full,Plan period indicates '2024 — FORWARD' suggesting ongoing implementation from 2024 with no specified end date.,pdf,2026-03-27,direction
593,Middlesex Hospital Alliance NEWBURY FOUR COUNTIES HEALTH SERV.,Small Hospital,Community — Small,3,Advance How We Deliver Care,NA,"Harness innovative ways of expanding access to high quality care for our local and rural communities. | Invest in relationships and collaborate with partners to achieve our vision and strategic priorities, making the healthcare system more integrated for our patients. | Advance clinical, information technology, capital infrastructure and financial opportunities to respond to the evolving and future needs of our hospitals and communities.",2024-01-01,NA,2024,NA,ACC,PAR,high,full,Primary theme is ACC based on 'expanding access to high quality care' and 'evolving needs of communities'. Secondary theme is PAR due to substantial emphasis on 'invest in relationships and collaborate with partners' and 'making the healthcare system more integrated'. Infrastructure and IT mentioned are enablers supporting the access and integration goals.,ok,TRUE,NA,NA,Middlesex Hospital Alliance,2024,TRUE,Exceptional People providing Exceptional Care.,To provide the health care we would expect for our own families.,Compassion | Accountability | Respect | Excellence,NA,full,Plan period indicates '2024 — FORWARD' suggesting ongoing implementation from 2024 with no specified end date.,pdf,2026-03-27,direction
596,Alliston Stevenson Memorial Hospital,Small Hospital,Community — Small,1,PEOPLE,"Creating a work environment that values and recognizes the contribution of every staff member in creating a positive patient care experience. Creating and upholding a culture of continuous learning, focused on collaboration and teamwork.",NA,2023-01-01,2028-01-01,2023,2028,WRK,PAT,high,name_description,"Primary focus on workforce culture (recognition, learning culture, collaboration, teamwork). Secondary theme PAT justified by explicit connection to patient care experience as the purpose of staff engagement.",ok,TRUE,NA,NA,Stevenson Memorial Hospital,2023,TRUE,Setting A New Standard For Community Hospital Care,"Promising Progress, Pursuing Perfection",Integrity | Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf,2026-03-27,direction
596,Alliston Stevenson Memorial Hospital,Small Hospital,Community — Small,2,CARE,Keeping the patient at the center of every care discussion and decision. Ensuring that patient values inform every aspect of delivery.,NA,2023-01-01,2028-01-01,2023,2028,PAT,NA,high,name_description,NA,ok,TRUE,NA,NA,Stevenson Memorial Hospital,2023,TRUE,Setting A New Standard For Community Hospital Care,"Promising Progress, Pursuing Perfection",Integrity | Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf,2026-03-27,direction
596,Alliston Stevenson Memorial Hospital,Small Hospital,Community — Small,3,PARTNERSHIPS,Working collaboratively with local and community health care providers to continue to develop our care network and availability to offer a seamless care experience for our patients.,NA,2023-01-01,2028-01-01,2023,2028,PAR,ACC,high,name_description,"Primary focus on collaborative partnerships with external providers to build care networks. Secondary theme ACC reflects the goal of seamless care experience and service availability, which are access/delivery outcomes of the partnership strategy.",ok,TRUE,NA,NA,Stevenson Memorial Hospital,2023,TRUE,Setting A New Standard For Community Hospital Care,"Promising Progress, Pursuing Perfection",Integrity | Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf,2026-03-27,direction
596,Alliston Stevenson Memorial Hospital,Small Hospital,Community — Small,4,INVESTMENTS,"Operating appropriately within fiscal constraints to maximize investments in staff, equipment, infrastructure and improvement to provide high quality care for present and future patients.",NA,2023-01-01,2028-01-01,2023,2028,FIN,INF,high,name_description,Primary FIN: core focus on fiscal constraints and resource allocation. Secondary INF: substantial emphasis on infrastructure and equipment investments as strategic outputs of financial stewardship.,ok,TRUE,NA,NA,Stevenson Memorial Hospital,2023,TRUE,Setting A New Standard For Community Hospital Care,"Promising Progress, Pursuing Perfection",Integrity | Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf,2026-03-27,direction
